x, y, z
88.15, -66.73, 131.76
89.44, -64.99, 131.76
91.48, -63.23, 132.53
91.10, -60.35, 130.23
92.26, -58.55, 130.23
94.49, -57.40, 131.76
95.05, -55.21, 130.99
96.67, -53.64, 131.76
97.14, -51.43, 130.99
98.90, -49.42, 131.76
74.31, -35.32, 98.05
42.77, -19.31, 55.92
40.77, -17.45, 52.86
39.32, -15.93, 50.56
39.63, -15.15, 50.56
38.71, -13.94, 49.03
39.02, -13.02, 49.03
39.27, -12.25, 49.03
39.50, -11.48, 49.03
39.14, -10.38, 48.26
39.34, -9.61, 48.26
40.81, -8.95, 49.79
39.09, -7.77, 47.49
39.23, -7.01, 47.49
39.36, -6.23, 47.49
42.66, -5.90, 51.32
44.68, -5.29, 53.62
42.22, -4.16, 50.56
37.18, -2.78, 44.43
35.94, -1.98, 42.90
38.54, -1.36, 45.96
32.14, -0.50, 38.30
32.80, 0.13, 37.74
31.48, 0.74, 36.23
32.12, 1.39, 36.98
31.42, 2.10, 36.23
32.03, 2.77, 36.98
31.97, 3.40, 36.98
34.50, 4.36, 40.00
30.51, 4.46, 35.47
31.06, 5.17, 36.23
28.38, 5.30, 33.21
31.45, 6.64, 36.98
33.23, 7.70, 39.24
43.21, 11.09, 51.32
43.66, 11.95, 52.07
42.11, 12.59, 50.57
42.43, 13.79, 51.32
42.77, 14.83, 52.07
43.09, 15.90, 52.83
41.54, 16.26, 51.32
40.00, 16.57, 49.81
40.27, 17.62, 50.57
40.44, 18.84, 51.32
40.06, 19.63, 51.32
39.67, 20.41, 51.32
39.26, 21.18, 51.32
38.27, 21.63, 50.57
38.40, 22.71, 51.32
37.95, 23.46, 51.32
35.73, 23.27, 49.06
35.81, 24.34, 49.81
35.33, 25.04, 49.81
34.83, 25.73, 49.81
34.32, 26.40, 49.81
33.79, 27.07, 49.81
35.27, 29.41, 52.83
37.04, 32.39, 56.60
49.01, 44.60, 76.23
45.74, 43.29, 72.45
42.38, 42.05, 68.68
43.83, 45.23, 72.45
42.75, 46.25, 72.45
41.40, 46.59, 71.70
40.48, 47.39, 71.70
39.54, 48.18, 71.70
38.59, 48.95, 71.70
38.01, 50.22, 72.45
42.03, 57.85, 82.26
44.39, 64.22, 89.81
44.21, 66.72, 92.07
48.86, 77.00, 104.90
48.36, 79.62, 107.17
56.68, 97.58, 129.81
53.80, 96.95, 127.55
53.72, 101.47, 132.07
51.02, 102.12, 131.32
48.45, 101.91, 129.81
45.90, 101.65, 128.30
43.89, 102.53, 128.30
41.62, 102.76, 127.55
39.60, 103.56, 127.55
37.56, 104.32, 127.55
34.88, 104.55, 126.79
32.82, 105.22, 126.79
30.75, 105.84, 126.79
28.08, 105.90, 126.04
25.68, 105.16, 124.53
23.34, 106.38, 125.28
21.50, 108.10, 126.79
19.26, 107.86, 126.04
16.93, 106.92, 124.53
14.92, 107.88, 125.28
12.88, 108.80, 126.04
10.67, 108.38, 125.28
8.26, 110.57, 127.55
6.09, 110.71, 127.55
3.92, 110.80, 127.55
1.74, 110.86, 127.55
-0.44, 110.87, 127.55
-2.63, 111.50, 128.30
-4.87, 112.74, 129.81
-7.57, 113.25, 130.56
-9.96, 115.04, 132.83
-12.22, 114.82, 132.83
-14.55, 115.21, 133.58
-16.72, 114.25, 132.83
-19.39, 116.49, 135.85
-22.15, 118.66, 138.87
-27.20, 126.35, 148.68
-34.35, 145.58, 172.07
-41.12, 160.13, 190.19
-45.13, 162.46, 193.96
-48.31, 161.54, 193.96
-52.71, 162.23, 196.22
-54.61, 159.52, 193.96
-58.13, 157.57, 193.21
-52.13, 133.18, 164.53
-52.47, 126.68, 157.73
-54.42, 124.42, 156.22
-58.23, 126.31, 160.00
-62.34, 127.26, 163.02
-66.03, 128.34, 166.04
-69.78, 129.33, 169.05
-73.92, 130.79, 172.83
-78.81, 133.27, 178.11
-75.90, 122.77, 166.04
-66.55, 103.07, 141.13
-66.75, 98.21, 136.60
-67.52, 95.28, 134.34
-67.82, 91.82, 131.32
-68.81, 89.43, 129.81
-69.25, 85.75, 126.79
-70.83, 83.59, 126.04
-70.29, 79.72, 122.26
-71.39, 77.84, 121.51
-74.27, 77.85, 123.77
-78.09, 78.71, 127.55
-83.86, 81.27, 134.34
-88.80, 82.74, 139.62
-93.67, 83.24, 144.15
-92.79, 79.25, 140.38
-93.31, 76.58, 138.87
-94.28, 74.33, 138.11
-94.68, 71.67, 136.60
-95.01, 69.03, 135.09
-96.34, 67.15, 135.09
-97.35, 64.50, 134.34
-96.38, 61.17, 131.32
-98.13, 59.60, 132.07
-99.28, 57.67, 132.07
-99.24, 55.07, 130.56
-100.31, 53.11, 130.56
-100.74, 50.83, 129.81
-101.72, 48.85, 129.81
-122.19, 54.60, 153.96
-126.87, 53.72, 158.49
-126.07, 50.49, 156.22
-126.42, 47.77, 155.47
-128.13, 45.00, 156.22
-129.61, 42.68, 156.98
-129.80, 39.93, 156.22
-145.07, 41.53, 173.58
-161.71, 42.88, 192.45
-161.24, 39.38, 190.94
-170.38, 31.12, 199.24
-141.17, 22.93, 164.53
-137.05, 19.50, 159.24
-138.77, 16.42, 160.75
-139.07, 13.70, 160.75
-139.31, 10.96, 160.75
-141.46, 8.34, 163.02
-143.57, 5.64, 165.28
-127.25, 2.50, 146.41
-115.47, 0.00, 132.83
-114.78, -2.70, 132.07
-115.36, -4.99, 132.83
-116.52, -7.79, 134.34
-117.65, -10.19, 135.85
-118.73, -12.64, 137.36
-119.05, -15.51, 138.11
-120.02, -18.04, 139.62
-119.64, -20.40, 139.62
