x, y, z
51.19, 19.80, 38.43
55.82, 23.64, 42.44
55.15, 25.16, 42.44
55.17, 27.03, 43.02
56.70, 29.45, 44.74
58.61, 32.82, 47.03
59.09, 35.26, 48.18
56.02, 35.55, 46.46
55.70, 37.54, 47.03
56.65, 40.48, 48.75
56.17, 42.52, 49.33
54.98, 44.05, 49.33
55.00, 46.60, 50.47
53.09, 47.55, 49.90
54.53, 52.02, 52.77
52.50, 52.92, 52.20
44.46, 57.78, 51.05
45.01, 62.47, 53.92
63.08, 92.82, 78.58
61.01, 96.14, 79.73
59.18, 99.18, 80.87
56.04, 100.06, 80.30
57.45, 109.54, 86.61
54.06, 110.34, 86.04
50.66, 111.04, 85.46
47.27, 111.64, 84.89
43.15, 111.54, 83.74
40.07, 112.68, 83.74
36.70, 112.96, 83.17
34.27, 114.58, 83.74
31.07, 117.19, 84.89
27.09, 114.81, 82.60
23.92, 115.51, 82.60
20.74, 116.12, 82.60
17.42, 115.84, 82.02
14.42, 117.90, 83.17
11.25, 119.07, 83.74
8.14, 121.78, 85.46
4.37, 123.61, 86.61
0.97, 122.87, 86.04
-2.46, 125.31, 87.76
-5.94, 126.01, 88.33
-9.40, 125.80, 88.33
-13.19, 128.75, 90.63
-17.34, 129.09, 91.20
-21.01, 129.37, 91.77
-25.02, 131.16, 93.49
-28.61, 130.42, 93.49
-33.50, 132.63, 95.79
-37.80, 134.03, 97.51
-42.20, 135.28, 99.23
-46.96, 137.17, 101.52
-51.29, 137.36, 102.67
-56.28, 138.94, 104.96
-59.75, 136.59, 104.39
-65.22, 138.60, 107.26
-68.27, 135.30, 106.11
-69.24, 128.32, 102.10
-71.10, 123.53, 99.80
-72.33, 118.04, 96.93
-73.76, 113.26, 94.64
-74.98, 108.49, 92.35
-75.43, 102.13, 88.90
-77.20, 98.73, 87.76
-77.28, 93.41, 84.89
-78.74, 90.02, 83.74
-79.51, 86.02, 82.02
-82.99, 84.97, 83.17
-92.71, 89.14, 90.05
-99.97, 90.96, 94.64
-101.81, 87.65, 94.07
-103.88, 83.89, 93.49
-106.14, 81.01, 93.49
-107.66, 77.58, 92.92
-108.40, 73.67, 91.77
-108.31, 69.34, 90.05
-110.18, 66.33, 90.05
-110.54, 62.47, 88.90
-111.49, 59.03, 88.33
-114.54, 56.67, 89.48
-113.82, 52.47, 87.76
-137.81, 58.99, 104.96
-142.42, 56.39, 107.26
-132.56, 47.73, 98.66
-125.27, 41.25, 92.35
-124.78, 37.32, 91.20
-126.55, 34.09, 91.77
-128.91, 31.49, 92.92
-130.64, 27.59, 93.49
-132.16, 24.14, 94.07
-134.39, 20.74, 95.21
-134.09, 16.94, 94.64
-135.38, 12.80, 95.21
-145.48, 9.73, 102.10
-144.90, 5.12, 101.52
-135.98, 1.07, 95.21
-128.58, -2.53, 90.05
-128.46, -6.06, 90.05
-129.88, -9.71, 91.20
-130.38, -13.36, 91.77
-132.40, -17.25, 93.49
-134.31, -21.27, 95.21
-132.86, -24.80, 94.64
-135.34, -29.14, 96.93
-137.67, -33.62, 99.23
-139.85, -38.26, 101.52
-140.31, -42.56, 102.67
-141.24, -47.74, 104.39
-142.18, -52.45, 106.11
-145.24, -58.17, 109.55
-145.85, -63.11, 111.27
-147.77, -68.83, 114.14
-149.48, -74.69, 117.01
-186.39, -99.63, 147.98
-189.27, -107.96, 152.57
-191.37, -117.27, 157.16
-193.07, -126.82, 161.75
-195.42, -135.06, 166.34
-198.90, -145.71, 172.65
-200.04, -156.43, 177.81
-203.24, -168.13, 184.69
-207.17, -181.20, 192.72
-209.33, -193.50, 199.60
-213.89, -208.91, 209.36
-214.34, -221.18, 215.66
-207.63, -226.39, 215.09
-212.60, -245.00, 227.14
-231.25, -281.78, 255.24
-237.27, -308.38, 272.45
-246.52, -339.31, 293.67
-249.14, -363.52, 308.58
-239.06, -370.23, 308.58
-227.94, -375.26, 307.44
-216.32, -379.25, 305.72
-203.88, -381.44, 302.85
-192.59, -385.44, 301.70
-178.67, -387.58, 298.83
-166.09, -392.24, 298.26
-156.74, -400.47, 301.13
-145.40, -403.86, 300.55
-133.99, -406.93, 299.98
-122.28, -408.88, 298.83
-111.21, -412.88, 299.41
-99.63, -414.99, 298.83
-88.02, -416.77, 298.26
-76.53, -419.03, 298.26
-64.73, -419.35, 297.11
-52.46, -415.29, 293.10
-41.27, -419.02, 294.82
-29.79, -420.81, 295.39
-16.50, -419.90, 294.24
-4.82, -408.73, 286.21
5.78, -367.75, 257.54
14.54, -336.36, 235.74
21.58, -304.78, 213.94
27.70, -281.25, 197.88
33.24, -255.06, 180.10
37.93, -239.48, 169.78
41.64, -223.05, 158.88
45.64, -208.03, 149.13
51.34, -206.70, 149.13
56.35, -202.84, 147.41
58.53, -190.25, 139.38
59.54, -176.16, 130.20
61.24, -166.00, 123.89
62.43, -155.89, 117.58
63.76, -147.35, 112.42
64.68, -138.86, 107.26
63.34, -126.77, 99.23
64.49, -120.65, 95.79
69.00, -120.96, 97.51
75.76, -123.62, 101.52
81.36, -124.93, 104.39
88.02, -127.36, 108.41
93.43, -127.54, 110.70
97.91, -127.25, 112.42
108.09, -131.71, 119.30
114.89, -132.40, 122.75
124.55, -134.74, 128.48
130.50, -133.61, 130.78
132.27, -127.17, 128.48
132.69, -120.73, 125.61
134.09, -115.44, 123.89
132.77, -108.09, 119.88
134.39, -103.40, 118.73
134.53, -97.74, 116.44
136.49, -93.54, 115.86
137.63, -88.87, 114.72
137.92, -83.78, 112.99
140.17, -79.95, 112.99
139.43, -74.53, 110.70
123.84, -61.88, 96.93
44.63, -20.58, 34.41
45.18, -19.34, 34.41
43.41, -17.19, 32.69
43.87, -15.99, 32.69
44.29, -14.78, 32.69
44.68, -13.55, 32.69
45.83, -12.54, 33.27
46.15, -11.27, 33.27
46.49, -9.82, 33.27
45.93, -8.39, 32.69
44.55, -6.70, 31.55
38.22, -4.68, 26.96
36.68, -3.61, 25.81
39.22, -2.78, 27.53
45.84, -1.80, 32.12
50.78, -0.60, 35.56
47.25, 0.74, 31.87
44.73, 1.93, 30.20
47.14, 3.34, 31.87
46.20, 4.55, 31.31
50.17, 6.34, 34.11
48.34, 7.46, 32.99
53.83, 9.83, 36.91
54.30, 11.69, 37.47
55.57, 13.57, 38.58
52.78, 14.44, 36.91
49.19, 14.92, 34.67
48.76, 16.27, 34.67
49.85, 18.17, 35.79
48.56, 19.23, 35.23
48.78, 20.88, 35.79
58.73, 27.07, 43.62
56.47, 27.94, 42.50
58.37, 31.49, 44.74
57.48, 33.09, 44.74
57.26, 35.09, 45.29
60.44, 39.36, 48.65
61.38, 42.42, 50.33
57.52, 42.13, 48.09
57.65, 44.71, 49.21
58.96, 48.39, 51.45
58.43, 50.30, 52.00
56.21, 51.55, 51.45
57.15, 55.39, 53.68
55.61, 56.94, 53.68
52.90, 57.23, 52.56
51.08, 58.86, 52.56
50.49, 61.52, 53.68
49.29, 63.54, 54.24
46.05, 62.87, 52.56
44.78, 64.79, 53.12
51.58, 79.20, 63.75
50.68, 82.70, 65.43
54.59, 94.84, 73.81
59.05, 109.44, 83.88
56.02, 111.02, 83.88
52.60, 111.77, 83.32
48.84, 111.65, 82.20
45.44, 112.19, 81.64
41.45, 113.72, 81.64
37.78, 113.25, 80.52
34.90, 115.03, 81.08
31.72, 115.95, 81.08
28.13, 115.17, 79.96
25.13, 116.71, 80.52
21.91, 117.35, 80.52
18.55, 117.09, 79.96
15.32, 117.56, 79.96
11.62, 117.98, 79.96
8.67, 122.39, 82.76
5.82, 123.39, 83.32
2.43, 123.50, 83.32
-1.46, 124.35, 83.88
-0.03, 0.83, 0.56
-8.52, 127.39, 86.12
-12.17, 128.76, 87.23
-16.01, 130.84, 88.91
-19.84, 131.99, 90.03
-23.32, 130.58, 89.47
-27.24, 131.51, 90.59
-31.41, 133.14, 92.27
-36.22, 134.49, 93.94
-40.86, 136.62, 96.18
-44.86, 136.23, 96.74
-50.25, 137.87, 98.98
-54.63, 137.98, 100.10
-58.40, 136.42, 100.10
-64.21, 139.28, 103.45
-68.01, 137.47, 103.45
-69.05, 130.42, 99.54
-72.29, 126.74, 98.42
-73.17, 120.46, 95.06
-74.20, 114.92, 92.27
-74.52, 108.73, 88.91
-76.02, 104.63, 87.23
-76.34, 99.22, 84.44
-77.47, 95.15, 82.76
-78.97, 91.73, 81.64
-78.67, 86.46, 78.85
-81.59, 84.86, 79.41
-88.62, 87.24, 83.88
-95.84, 89.29, 88.35
-102.96, 90.06, 92.27
-103.48, 85.61, 90.59
-105.80, 82.73, 90.59
-108.03, 79.79, 90.59
-108.82, 75.85, 89.47
-109.76, 71.48, 88.35
-110.27, 67.57, 87.23
-111.37, 64.10, 86.67
-112.36, 60.63, 86.12
-114.21, 57.07, 86.12
-115.73, 53.91, 86.12
-128.58, 55.64, 94.50
-147.77, 59.18, 107.37
-147.78, 54.52, 106.25
-139.01, 46.99, 98.98
-136.29, 41.93, 96.18
-137.39, 38.17, 96.18
-140.00, 34.78, 97.30
-142.52, 31.27, 98.42
-144.95, 27.65, 99.54
-144.84, 23.52, 98.98
-146.33, 19.07, 99.54
-149.27, 15.29, 101.21
-159.56, 11.93, 107.92
-159.00, 7.50, 107.37
-145.88, 2.86, 98.42
-128.50, -1.01, 86.67
-127.59, -4.51, 86.12
-129.07, -8.12, 87.23
-131.23, -12.41, 88.91
-132.42, -16.73, 90.03
-133.55, -20.62, 91.15
-133.75, -24.43, 91.71
-135.46, -28.61, 93.39
-136.24, -32.71, 94.50
-138.49, -37.30, 96.74
-138.20, -41.33, 97.30
-140.17, -46.15, 99.54
-141.18, -50.83, 101.21
-142.82, -55.90, 103.45
-145.05, -61.42, 106.25
-147.08, -67.10, 109.04
-148.16, -72.58, 111.28
-182.44, -96.59, 139.24
-188.37, -106.47, 145.95
-191.06, -115.03, 150.42
-192.01, -122.92, 153.78
-194.73, -132.34, 158.81
-197.75, -142.49, 164.40
-200.35, -152.90, 169.99
-202.52, -163.56, 175.59
-207.33, -178.49, 184.53
-209.57, -192.20, 191.80
-213.73, -207.12, 200.75
-218.39, -223.59, 210.82
-222.29, -240.47, 220.88
-226.51, -258.97, 232.07
-232.52, -281.07, 246.04
-238.49, -304.98, 261.14
-245.29, -332.10, 278.48
-254.08, -364.56, 299.73
-247.15, -376.25, 303.64
-233.23, -377.26, 299.17
-220.69, -379.95, 296.37
-208.18, -382.23, 293.58
-194.95, -386.36, 291.90
-183.20, -389.32, 290.22
-171.43, -391.93, 288.54
-162.46, -401.10, 291.90
-150.80, -403.86, 290.78
-138.84, -405.50, 289.10
-127.64, -409.17, 289.10
-114.50, -412.18, 288.54
-102.73, -413.56, 287.43
-89.34, -414.96, 286.31
-78.66, -421.33, 289.10
-67.57, -426.61, 291.34
-54.85, -420.91, 286.31
-43.09, -420.61, 285.19
-31.70, -424.11, 286.87
-20.11, -426.48, 287.98
-8.33, -424.39, 286.31
2.99, -380.52, 256.67
12.16, -343.84, 232.07
19.47, -309.45, 209.14
25.80, -284.85, 192.92
31.08, -262.63, 178.38
36.85, -245.13, 167.20
40.66, -227.70, 156.01
44.38, -214.32, 147.63
48.16, -204.14, 141.48
70.24, -123.14, 95.62
74.89, -123.29, 97.30
81.44, -125.05, 100.65
88.14, -127.53, 104.57
93.09, -127.07, 106.25
98.07, -126.43, 107.92
107.82, -131.38, 114.63
114.65, -132.12, 117.99
123.81, -133.93, 123.02
128.60, -131.66, 124.14
130.98, -126.93, 123.02
130.75, -119.92, 119.67
131.49, -114.10, 117.43
131.38, -107.82, 114.63
133.88, -104.69, 114.63
135.76, -99.46, 113.52
135.72, -93.80, 111.28
136.86, -89.13, 110.16
138.55, -84.90, 109.60
138.67, -79.82, 107.92
140.38, -75.03, 107.37
127.56, -63.74, 96.18
44.34, -20.65, 32.99
44.89, -19.43, 32.99
44.71, -17.70, 32.43
43.62, -15.90, 31.31
43.25, -14.43, 30.76
44.43, -13.48, 31.31
43.98, -12.03, 30.76
46.76, -11.23, 32.43
47.86, -10.11, 32.99
35.88, -6.55, 24.60
35.23, -5.44, 24.05
38.66, -4.88, 26.28
40.43, -3.98, 27.40
42.18, -2.99, 28.52
47.21, -2.04, 31.87
53.88, -0.85, 36.35
51.99, 0.61, 33.77
50.28, 1.98, 32.68
46.02, 3.08, 29.96
45.92, 4.34, 29.96
49.95, 6.11, 32.68
48.10, 7.23, 31.59
56.10, 10.25, 37.04
54.98, 11.61, 36.49
54.64, 13.12, 36.49
53.39, 14.61, 35.95
49.76, 15.09, 33.77
50.12, 16.72, 34.31
50.43, 18.38, 34.86
48.35, 19.14, 33.77
50.03, 21.65, 35.40
58.54, 27.27, 41.94
57.77, 28.86, 41.94
59.91, 32.02, 44.12
58.28, 33.24, 43.57
57.34, 34.83, 43.57
60.59, 39.12, 46.84
62.95, 43.15, 49.56
58.35, 42.39, 46.84
58.49, 45.01, 47.93
59.19, 48.18, 49.56
59.11, 50.89, 50.65
58.72, 53.85, 51.74
58.42, 56.61, 52.83
56.84, 58.20, 52.83
54.08, 58.51, 51.74
51.90, 59.34, 51.20
50.79, 61.39, 51.74
50.11, 64.08, 52.83
46.84, 63.41, 51.20
45.33, 64.50, 51.20
52.63, 80.82, 62.63
50.39, 82.23, 62.63
56.51, 99.08, 74.07
60.49, 113.17, 83.33
55.86, 111.78, 81.15
52.41, 112.52, 80.61
48.96, 113.14, 80.06
45.52, 113.67, 79.52
42.09, 114.09, 78.97
38.67, 114.41, 78.43
36.25, 117.83, 80.06
32.55, 117.17, 78.97
29.32, 118.02, 78.97
25.70, 117.14, 77.88
22.16, 118.72, 78.43
18.76, 118.45, 77.88
15.61, 119.76, 78.43
12.31, 120.14, 78.43
9.19, 122.94, 80.06
5.81, 123.15, 80.06
2.45, 124.94, 81.15
-0.99, 125.80, 81.70
-4.53, 128.24, 83.33
-8.11, 128.90, 83.87
-11.80, 130.30, 84.96
-16.61, 131.47, 86.05
-20.47, 132.62, 87.14
-24.26, 132.83, 87.69
-27.72, 133.86, 88.78
-32.30, 134.56, 89.87
-36.21, 134.43, 90.41
-41.09, 137.40, 93.13
-45.38, 137.81, 94.22
-50.28, 139.67, 96.40
-54.41, 139.01, 96.95
-58.54, 138.24, 97.49
-63.71, 139.63, 99.67
-69.18, 139.82, 101.30
-70.25, 132.67, 97.49
-72.63, 128.50, 95.86
-73.11, 121.43, 92.04
-75.06, 117.25, 90.41
-74.95, 110.29, 86.60
-76.49, 106.15, 84.96
-77.34, 101.34, 82.79
-79.04, 97.87, 81.70
-79.52, 93.11, 79.52
-80.37, 89.02, 77.88
-81.05, 84.96, 76.25
-91.20, 89.07, 82.79
-98.54, 91.09, 87.14
-103.53, 90.55, 89.32
-104.69, 86.60, 88.23
-106.37, 83.18, 87.69
-107.94, 79.72, 87.14
-109.40, 76.25, 86.60
-110.05, 72.29, 85.51
-110.57, 68.36, 84.42
-110.96, 64.45, 83.33
-112.19, 60.53, 82.79
-114.56, 57.81, 83.33
-115.35, 54.28, 82.79
-124.48, 54.45, 88.23
-146.14, 59.19, 102.39
-146.92, 54.86, 101.85
-138.06, 47.27, 94.77
-138.51, 43.21, 94.22
-138.84, 39.16, 93.68
-141.49, 35.74, 94.77
-143.23, 32.02, 95.31
-145.70, 28.39, 96.40
-147.35, 23.93, 96.95
-147.95, 19.87, 96.95
-151.84, 15.56, 99.12
-162.25, 12.13, 105.66
-160.01, 7.55, 104.03
-145.90, 2.87, 94.77
-130.83, -1.03, 84.96
-130.75, -4.62, 84.96
-131.41, -8.27, 85.51
-132.76, -12.55, 86.60
-134.03, -16.40, 87.69
-137.67, -20.70, 90.41
-135.40, -24.18, 89.32
-137.15, -28.40, 90.95
-139.58, -32.93, 93.13
-139.43, -36.97, 93.68
-143.19, -42.21, 96.95
-144.37, -46.91, 98.58
-143.82, -51.14, 99.12
-146.27, -56.59, 101.85
-149.30, -62.53, 105.12
-151.08, -68.93, 107.84
-152.89, -74.90, 110.56
-176.03, -92.32, 129.08
-191.72, -107.37, 142.70
-194.71, -117.23, 147.60
-195.66, -125.25, 150.87
-197.69, -134.35, 155.22
-201.41, -145.13, 161.21
-203.34, -155.19, 166.11
-204.87, -166.79, 171.56
-208.47, -179.47, 178.64
-211.52, -192.47, 185.72
-216.43, -208.10, 194.98
-220.04, -223.53, 203.69
-224.68, -241.15, 214.04
-228.50, -259.19, 224.39
-234.19, -280.83, 237.46
-239.36, -303.62, 251.08
-246.45, -330.94, 267.96
-254.62, -362.29, 287.57
-251.05, -378.94, 295.19
-236.38, -382.36, 291.93
-223.25, -384.36, 288.66
-211.00, -387.41, 286.48
-200.28, -389.29, 284.30
-184.97, -393.09, 282.12
-173.43, -396.48, 281.03
-164.04, -404.99, 283.76
-152.84, -409.34, 283.76
-140.72, -411.01, 282.12
-127.49, -414.42, 281.58
-115.83, -416.96, 281.03
-104.53, -420.80, 281.58
-92.02, -419.42, 278.86
-80.93, -424.26, 280.49
-69.91, -430.47, 283.21
-57.05, -424.75, 278.31
-45.27, -425.32, 277.77
-33.56, -426.40, 277.77
-22.00, -430.52, 279.94
-10.14, -430.12, 279.40
1.51, -384.95, 249.99
12.33, -348.67, 226.57
19.80, -314.72, 204.78
26.10, -288.16, 187.90
31.98, -261.39, 171.02
36.66, -243.83, 160.12
40.84, -228.69, 150.87
44.22, -213.52, 141.61
49.11, -208.15, 138.88
55.03, -207.53, 139.43
58.15, -194.45, 131.80
59.28, -180.03, 123.09
60.41, -169.89, 117.10
62.97, -160.88, 112.20
64.10, -151.37, 106.75
65.45, -143.45, 102.39
64.20, -131.05, 94.77
65.44, -124.78, 91.50
68.85, -122.93, 91.50
74.35, -124.59, 94.22
80.44, -126.75, 97.49
86.70, -128.67, 100.76
93.65, -129.96, 104.03
97.69, -128.01, 104.57
108.02, -133.75, 111.65
113.84, -133.29, 113.83
123.61, -135.85, 119.28
130.20, -135.42, 122.00
132.68, -130.61, 120.91
132.54, -123.49, 117.64
134.00, -118.13, 116.01
134.41, -111.19, 113.28
134.77, -105.39, 111.11
136.27, -100.65, 110.02
138.30, -96.39, 109.47
138.09, -90.71, 107.29
139.82, -86.44, 106.75
139.97, -81.30, 105.12
141.41, -77.02, 104.57
137.50, -70.06, 100.21
46.96, -22.32, 33.77
42.19, -18.65, 29.96
45.01, -18.44, 31.59
43.93, -16.60, 30.50
42.05, -14.40, 28.87
44.03, -13.74, 29.96
41.97, -11.84, 28.32
43.10, -10.88, 28.87
48.33, -10.60, 32.13
36.25, -6.91, 23.96
38.91, -6.32, 25.60
36.57, -4.91, 23.96
37.53, -3.99, 24.51
42.65, -3.19, 27.78
46.91, -2.21, 30.50
51.15, -1.00, 33.22
49.19, 0.39, 30.74
52.55, 1.86, 32.85
52.48, 3.30, 32.85
48.99, 4.44, 30.74
48.85, 5.78, 30.74
52.86, 7.74, 33.38
53.47, 9.33, 33.91
53.19, 10.80, 33.91
53.70, 12.45, 34.44
54.16, 14.13, 34.97
50.43, 14.87, 32.85
47.59, 15.46, 31.27
51.14, 18.18, 33.91
49.83, 19.28, 33.38
47.72, 19.98, 32.33
54.10, 24.43, 37.09
58.75, 28.50, 40.80
57.83, 30.33, 40.80
59.19, 33.15, 42.39
55.94, 33.68, 40.80
56.43, 36.12, 41.86
57.52, 39.09, 43.45
59.86, 43.13, 46.10
62.70, 47.85, 49.28
61.36, 49.55, 49.28
59.97, 51.22, 49.28
61.06, 55.12, 51.40
62.59, 59.71, 54.05
62.12, 62.61, 55.11
58.63, 62.44, 53.52
58.02, 65.29, 54.58
55.11, 65.57, 53.52
52.50, 66.60, 52.99
51.16, 68.70, 53.52
49.25, 70.08, 53.52
47.77, 72.11, 54.05
50.71, 81.31, 59.88
53.60, 91.46, 66.24
59.24, 107.76, 76.84
57.81, 112.36, 78.96
53.60, 111.61, 77.37
50.16, 112.27, 76.84
46.73, 112.82, 76.31
43.17, 114.24, 76.31
39.28, 114.73, 75.78
36.11, 115.77, 75.78
32.92, 116.72, 75.78
30.11, 119.22, 76.84
26.27, 117.52, 75.25
23.03, 118.20, 75.25
19.77, 118.79, 75.25
16.50, 119.29, 75.25
13.31, 120.54, 75.78
9.58, 121.74, 76.31
6.27, 122.81, 76.84
2.94, 124.63, 77.90
-0.50, 126.36, 78.96
-4.02, 127.99, 80.02
-7.59, 128.68, 80.55
-11.12, 128.42, 80.55
-15.03, 131.44, 82.67
-18.76, 131.82, 83.20
-22.52, 132.09, 83.73
-26.31, 132.25, 84.26
-30.50, 133.96, 85.85
-35.54, 136.21, 87.97
-39.28, 135.19, 87.97
-44.53, 138.90, 91.15
-52.76, 139.62, 93.27
-57.12, 137.89, 93.27
-61.58, 137.82, 94.33
-67.18, 139.90, 96.98
-69.19, 133.20, 93.80
-72.10, 128.75, 92.21
-73.44, 123.07, 89.56
-74.53, 116.42, 86.38
-75.75, 110.53, 83.73
-76.27, 104.97, 81.08
-77.97, 100.51, 79.49
-79.62, 97.02, 78.43
-79.84, 91.28, 75.78
-80.59, 87.18, 74.19
-84.14, 86.15, 75.25
-93.53, 89.93, 81.08
-101.98, 92.06, 85.85
-103.52, 87.72, 84.79
-105.23, 84.31, 84.26
-106.16, 80.36, 83.20
-108.24, 76.07, 82.67
-108.87, 72.13, 81.61
-110.36, 68.23, 81.08
-110.98, 63.88, 80.02
-111.20, 60.00, 78.96
-112.81, 56.92, 78.96
-151.02, 53.70, 100.15
-150.21, 48.15, 98.56
-148.22, 43.06, 96.45
-149.34, 38.97, 96.45
-151.18, 35.04, 96.98
-152.92, 31.04, 97.51
-153.72, 26.83, 97.51
-155.24, 22.72, 98.04
-155.80, 18.44, 98.04
-158.78, 14.38, 99.62
-160.81, 10.12, 100.68
-161.90, 5.09, 101.21
-141.62, 0.56, 88.50
-128.87, -3.04, 80.55
-131.28, -6.71, 82.14
-131.04, -10.31, 82.14
-133.24, -14.18, 83.73
-134.48, -18.06, 84.79
-135.61, -22.02, 85.85
-136.62, -26.06, 86.91
-136.68, -29.99, 87.44
-140.46, -36.06, 90.62
-142.68, -40.84, 92.74
-142.31, -45.01, 93.27
-144.22, -50.01, 95.39
-144.38, -54.56, 96.45
-148.32, -60.75, 100.15
-148.92, -65.84, 101.74
-151.65, -72.09, 104.92
-153.39, -78.16, 107.57
-190.66, -103.84, 135.66
-192.86, -112.02, 139.37
-196.20, -121.30, 144.14
-195.12, -129.27, 146.26
-197.74, -138.98, 151.03
-200.65, -149.42, 156.33
-203.79, -160.66, 162.16
-205.81, -171.63, 167.45
-209.29, -184.51, 174.34
-214.06, -199.44, 182.82
-217.57, -214.18, 190.77
-221.59, -230.47, 199.78
-227.16, -249.64, 210.91
-231.90, -273.69, 224.16
-238.08, -297.17, 237.93
-245.17, -323.88, 253.83
-253.93, -355.34, 272.91
-254.97, -378.36, 285.10
-240.84, -379.50, 280.86
-228.58, -383.06, 278.74
-216.30, -386.24, 276.62
-204.03, -389.03, 274.50
-192.14, -392.21, 272.91
-180.23, -395.03, 271.32
-168.39, -402.06, 272.38
-158.50, -409.70, 274.50
-145.47, -409.11, 271.32
-134.44, -413.76, 271.85
-123.01, -417.29, 271.85
-110.85, -418.06, 270.26
-100.57, -418.91, 269.20
-89.54, -424.00, 270.79
-76.63, -429.11, 272.38
-62.38, -426.27, 269.20
-50.34, -425.30, 267.61
-38.78, -428.21, 268.67
-25.36, -430.06, 269.20
-15.31, -433.08, 270.79
-1.60, -406.21, 253.83
8.53, -362.02, 226.28
16.70, -326.92, 204.55
23.55, -299.28, 187.59
29.26, -274.91, 172.75
34.32, -255.51, 161.10
38.75, -238.57, 151.03
42.59, -223.25, 142.02
45.98, -209.57, 134.07
52.54, -211.52, 136.19
57.32, -203.24, 131.95
58.59, -187.82, 122.94
60.43, -176.51, 116.58
62.30, -166.84, 111.28
63.04, -155.63, 104.92
64.23, -146.85, 100.15
66.08, -140.42, 96.98
63.91, -125.43, 87.97
66.52, -122.14, 86.91
72.90, -124.38, 90.09
78.09, -125.21, 92.21
83.34, -126.88, 94.86
90.68, -130.10, 99.09
96.24, -129.23, 100.68
102.38, -129.87, 103.33
111.34, -133.52, 108.63
117.77, -133.59, 111.28
127.18, -136.50, 116.58
132.07, -134.17, 117.64
131.43, -126.37, 113.93
132.98, -121.00, 112.34
134.32, -115.64, 110.75
134.59, -108.70, 108.10
135.50, -103.41, 106.51
137.61, -99.15, 105.98
138.18, -93.90, 104.39
137.85, -88.24, 102.27
139.50, -83.98, 101.74
140.27, -79.28, 100.68
141.94, -74.44, 100.15
70.06, -34.32, 48.75
40.96, -18.50, 28.09
44.59, -18.67, 30.21
44.29, -17.14, 29.68
42.35, -15.06, 28.09
43.55, -14.15, 28.62
43.11, -12.71, 28.09
46.72, -12.39, 30.21
36.32, -8.57, 23.32
33.22, -6.88, 21.20
33.39, -5.96, 21.20
37.74, -5.67, 23.85
42.93, -5.25, 27.03
45.59, -4.31, 28.62
51.63, -3.25, 32.33
49.16, -1.74, 30.74
50.03, -0.39, 31.27
48.85, 0.96, 29.36
51.37, 2.42, 30.90
52.14, 3.90, 31.42
51.16, 5.24, 30.90
56.95, 7.42, 34.51
54.15, 8.79, 32.96
54.73, 10.44, 33.48
54.37, 12.15, 33.48
55.68, 14.06, 34.51
51.15, 14.43, 31.93
49.10, 15.32, 30.90
48.66, 16.66, 30.90
49.79, 18.59, 31.93
50.85, 20.59, 32.96
50.26, 21.98, 32.96
59.72, 28.10, 39.66
58.93, 29.73, 39.66
61.86, 33.38, 42.23
60.17, 34.64, 41.72
56.14, 34.71, 39.66
60.90, 40.00, 43.78
58.37, 40.68, 42.75
61.36, 45.32, 45.84
65.02, 50.43, 49.44
61.42, 50.81, 47.90
62.58, 54.74, 49.96
62.94, 58.18, 51.50
61.93, 60.49, 52.02
61.44, 63.40, 53.05
59.10, 64.44, 52.53
56.74, 65.39, 52.02
53.86, 66.68, 51.50
52.52, 68.82, 52.02
51.61, 71.63, 53.05
49.63, 73.02, 53.05
48.99, 76.52, 54.59
55.26, 91.79, 64.38
56.94, 100.74, 69.53
59.76, 112.87, 76.74
56.26, 113.70, 76.23
52.30, 114.64, 75.71
48.46, 114.45, 74.68
44.99, 114.94, 74.17
41.81, 116.13, 74.17
38.07, 115.61, 73.14
34.88, 116.61, 73.14
32.33, 120.01, 74.68
28.41, 118.35, 73.14
25.33, 119.93, 73.65
22.02, 120.58, 73.65
18.57, 120.29, 73.14
15.26, 120.76, 73.14
12.01, 121.98, 73.65
8.78, 123.98, 74.68
4.91, 125.05, 75.20
1.48, 125.99, 75.71
-2.54, 129.41, 77.77
-6.10, 129.29, 77.77
-9.84, 131.64, 79.32
-13.45, 131.32, 79.32
-17.28, 132.60, 80.35
-21.71, 133.68, 81.38
-25.54, 133.88, 81.89
-29.58, 134.80, 82.92
-33.89, 136.43, 84.47
-38.09, 137.10, 85.50
-43.10, 140.10, 88.07
-47.21, 139.67, 88.59
-51.92, 140.73, 90.13
-56.72, 141.64, 91.68
-60.25, 139.24, 91.16
-65.87, 141.42, 93.74
-69.73, 139.55, 93.74
-74.08, 137.29, 93.74
-73.55, 127.78, 88.59
-75.24, 122.78, 86.53
-75.78, 116.36, 83.44
-77.00, 111.41, 81.38
-77.50, 105.80, 78.80
-78.28, 100.92, 76.74
-80.32, 97.09, 75.71
-80.70, 92.26, 73.65
-82.04, 88.75, 72.62
-85.05, 87.08, 73.14
-94.54, 90.90, 78.80
-101.44, 92.30, 82.41
-104.59, 90.04, 82.92
-107.02, 87.13, 82.92
-108.70, 83.63, 82.41
-110.26, 80.11, 81.89
-111.01, 76.08, 80.86
-110.90, 71.60, 79.32
-112.82, 68.53, 79.32
-112.43, 64.13, 77.77
-114.15, 61.01, 77.77
-115.02, 57.47, 77.26
-116.76, 53.83, 77.26
-144.99, 62.07, 94.77
